name	mode	real	user	sys	attempts	hits	fallback	parsed_samples	shape_attempts	shape_hits	shape_fallback
ccdg_10k	baseline	2.7	2.53	0.13	0	0	0	0	0	0	0
ccdg_10k	exact	1.76	1.61	0.13	10000	10000	0	32020000	0	0	0
ccdg_10k	interp	1.75	1.6	0.13	10000	10000	0	32020000	10000	10000	0
1000g_chr22_full_genotypes	baseline	26.95	26.23	0.61	0	0	0	0	0	0	0
1000g_chr22_full_genotypes	exact	9.86	9.16	0.58	1103547	1103547	0	2763281688	0	0	0
1000g_chr22_full_genotypes	interp	9.72	9.11	0.57	1103547	1103547	0	2763281688	0	0	0
large_ccdg_likelihood_2048s	baseline	4.1	3.93	0.15	0	0	0	0	0	0	0
large_ccdg_likelihood_2048s	exact	2.89	2.74	0.14	20000	20000	0	40960000	0	0	0
large_ccdg_likelihood_2048s	interp	2.85	2.69	0.13	20000	20000	0	40960000	20000	20000	0
large_reordered_likelihood_2048s	baseline	2.98	2.87	0.09	0	0	0	0	0	0	0
large_reordered_likelihood_2048s	exact	2.68	2.56	0.08	20000	20000	0	40960000	0	0	0
large_reordered_likelihood_2048s	interp	2.67	2.57	0.08	20000	20000	0	40960000	0	0	0
large_multiallelic_likelihood_2048s	baseline	3.25	3.11	0.1	0	0	0	0	0	0	0
large_multiallelic_likelihood_2048s	exact	2.15	2.05	0.09	16000	16000	0	32768000	0	0	0
large_multiallelic_likelihood_2048s	interp	2.09	1.99	0.09	16000	16000	0	32768000	16000	16000	0
large_float_string_2048s	baseline	3.02	2.87	0.14	0	0	0	0	0	0	0
large_float_string_2048s	exact	2.92	2.76	0.14	16000	16000	0	32768000	0	0	0
large_float_string_2048s	interp	2.93	2.77	0.14	16000	16000	0	32768000	0	0	0
large_phase_width_variation_2048s	baseline	2.68	2.51	0.13	0	0	0	0	0	0	0
large_phase_width_variation_2048s	exact	2.15	2	0.14	12000	12000	0	24576000	0	0	0
large_phase_width_variation_2048s	interp	2.14	1.99	0.14	12000	12000	0	24576000	12000	12000	0
large_mixed_likelihood_2048s	baseline	2.22	2.14	0.07	0	0	0	0	0	0	0
large_mixed_likelihood_2048s	exact	1.64	1.56	0.06	12000	11400	600	23347200	7355	6650	705
large_mixed_likelihood_2048s	interp	1.65	1.58	0.06	12000	12000	0	24576000	11295	10236	1059
large_gt_first_reordered_2048s	baseline	1.75	1.69	0.05	0	0	0	0	0	0	0
large_gt_first_reordered_2048s	exact	1.57	1.5	0.05	12000	12000	0	24576000	0	0	0
large_gt_first_reordered_2048s	interp	1.57	1.5	0.05	12000	12000	0	24576000	0	0	0
large_two_string_float_2048s	baseline	2.35	2.21	0.12	0	0	0	0	0	0	0
large_two_string_float_2048s	exact	2.49	2.36	0.12	12000	12000	0	24576000	0	0	0
large_two_string_float_2048s	interp	2.47	2.32	0.12	12000	12000	0	24576000	0	0	0
