name	comparison	status
ccdg_10k	baseline_vs_exact	ok
ccdg_10k	baseline_vs_interp	ok
1000g_chr22_genotypes	baseline_vs_exact	ok
1000g_chr22_genotypes	baseline_vs_interp	ok
1000g_wgs_sites	baseline_vs_exact	ok
1000g_wgs_sites	baseline_vs_interp	ok
clinvar_grch38_chr22	baseline_vs_exact	ok
clinvar_grch38_chr22	baseline_vs_interp	ok
gnomad_v4.1_exomes_sites	baseline_vs_exact	ok
gnomad_v4.1_exomes_sites	baseline_vs_interp	ok
synthetic_ccdg_likelihood	baseline_vs_exact	ok
synthetic_ccdg_likelihood	baseline_vs_interp	ok
synthetic_reordered_likelihood	baseline_vs_exact	ok
synthetic_reordered_likelihood	baseline_vs_interp	ok
synthetic_fixed_numeric	baseline_vs_exact	ok
synthetic_fixed_numeric	baseline_vs_interp	ok
synthetic_float_string	baseline_vs_exact	ok
synthetic_float_string	baseline_vs_interp	ok
synthetic_multiallelic_likelihood	baseline_vs_exact	ok
synthetic_multiallelic_likelihood	baseline_vs_interp	ok
