name	mode	real	user	sys	attempts	hits	fallback	parsed_samples	shape_attempts	shape_hits	shape_fallback
ccdg_10k	baseline	2.68	2.46	0.18	0	0	0	0	0	0	0
ccdg_10k	exact	1.74	1.57	0.15	10000	10000	0	32020000	0	0	0
ccdg_10k	interp	1.85	1.66	0.16	10000	10000	0	32020000	10000	10000	0
1000g_chr22_genotypes	baseline	0.04	0.03	0	0	0	0	0	0	0	0
1000g_chr22_genotypes	exact	0.02	0.01	0	1170	1170	0	2929680	1170	0	0
1000g_chr22_genotypes	interp	0.02	0.01	0	1170	1170	0	2929680	1170	0	0
1000g_wgs_sites	baseline	0.01	0	0	0	0	0	0	0	0	0
1000g_wgs_sites	exact	0.01	0	0	0	0	0	0	0	0	0
1000g_wgs_sites	interp	0.01	0	0	0	0	0	0	0	0	0
clinvar_grch38_chr22	baseline	0.01	0	0	0	0	0	0	0	0	0
clinvar_grch38_chr22	exact	0.01	0	0	0	0	0	0	0	0	0
clinvar_grch38_chr22	interp	0.01	0	0	0	0	0	0	0	0	0
gnomad_v4.1_exomes_sites	baseline	0.46	0.4	0.05	0	0	0	0	0	0	0
gnomad_v4.1_exomes_sites	exact	0.47	0.41	0.04	0	0	0	0	0	0	0
gnomad_v4.1_exomes_sites	interp	0.45	0.4	0.05	0	0	0	0	0	0	0
synthetic_ccdg_likelihood	baseline	0.01	0	0	0	0	0	0	0	0	0
synthetic_ccdg_likelihood	exact	0.01	0	0	2000	2000	0	16000	0	0	0
synthetic_ccdg_likelihood	interp	0.01	0	0	2000	2000	0	16000	2000	2000	0
synthetic_reordered_likelihood	baseline	0.01	0	0	0	0	0	0	0	0	0
synthetic_reordered_likelihood	exact	0	0	0	2000	2000	0	16000	0	0	0
synthetic_reordered_likelihood	interp	0.01	0	0	2000	2000	0	16000	0	0	0
synthetic_fixed_numeric	baseline	0.01	0	0	0	0	0	0	0	0	0
synthetic_fixed_numeric	exact	0.01	0	0	2000	2000	0	16000	2000	0	0
synthetic_fixed_numeric	interp	0.01	0	0	2000	2000	0	16000	2000	0	0
synthetic_float_string	baseline	0.01	0	0	0	0	0	0	0	0	0
synthetic_float_string	exact	0.01	0	0	2000	2000	0	16000	2000	0	0
synthetic_float_string	interp	0.01	0	0	2000	2000	0	16000	2000	0	0
synthetic_multiallelic_likelihood	baseline	0.01	0	0	0	0	0	0	0	0	0
synthetic_multiallelic_likelihood	exact	0	0	0	1200	1200	0	9600	0	0	0
synthetic_multiallelic_likelihood	interp	0	0	0	1200	1200	0	9600	1200	1200	0
